"Team","mean_possesion","total_goals","total_assists","total_yellow_cards","average_yellow_cards","average_passes","average_attempts","average_on_target","average_off_target","average_fouls_against","average_offside","average_pass_complete","average_corners","average_free_kick","total_penalties_scored","average_defensive_pressure","average_goals"
"ARGENTINA",51.1428571428571,15,8,16,2.28571428571429,625,14.8571428571429,6.85714285714286,6,14.2857142857143,3.28571428571429,548.714285714286,5.57142857142857,17.5714285714286,4,241.142857142857,2.14285714285714
"AUSTRALIA",31.25,4,3,7,1.75,384,6.25,2.25,2.5,13,0.25,301.5,2,12,0,345.75,1
"BELGIUM",49.6666666666667,1,1,5,1.66666666666667,593,11.3333333333333,3.66666666666667,6.33333333333333,10,1,522.666666666667,5.66666666666667,14.3333333333333,0,274.666666666667,0.333333333333333
"BRAZIL",50.4,8,6,6,1.2,601.8,18,8.2,6.8,12.6,1.6,539.2,7.4,17,1,295.4,1.6
"CAMEROON",38.3333333333333,4,4,8,2.66666666666667,386.333333333333,9,4.66666666666667,2.66666666666667,10.6666666666667,0.666666666666667,311.333333333333,4,15.3333333333333,0,307.333333333333,1.33333333333333
"CANADA",47,2,1,8,2.66666666666667,499.333333333333,11.6666666666667,2,6.33333333333333,11,2.66666666666667,429.333333333333,4,14,0,286.666666666667,0.666666666666667
"COSTA RICA",27.6666666666667,3,1,6,2,340.666666666667,4,2.33333333333333,0.666666666666667,8,4.33333333333333,270,0.333333333333333,15,0,419,1
"CROATIA",48,8,8,8,1.14285714285714,610.285714285714,11.5714285714286,4,5.14285714285714,12.8571428571429,1.57142857142857,532,4.28571428571429,15.1428571428571,0,301.857142857143,1.14285714285714
"DENMARK",53,1,1,5,1.66666666666667,593.666666666667,11.6666666666667,3,5.66666666666667,9.33333333333333,1.66666666666667,521,7,9.33333333333333,0,223,0.333333333333333
"ECUADOR",46.6666666666667,4,2,3,1,445.666666666667,9,4,3,16.6666666666667,2.66666666666667,369,3.66666666666667,15.6666666666667,1,249.333333333333,1.33333333333333
"ENGLAND",57.8,13,11,1,0.2,610.4,12,5.4,4.2,10.6,1,544.6,5,14.8,1,199,2.6
"FRANCE",44.8571428571429,16,12,8,1.14285714285714,522.285714285714,14.4285714285714,5,6,9.85714285714286,2.28571428571429,456,5.42857142857143,14,2,283.714285714286,2.28571428571429
"GERMANY",52.6666666666667,6,5,3,1,633,22.3333333333333,8,11,8.66666666666667,4,561.666666666667,8.33333333333333,13,1,260.333333333333,2
"GHANA",37.6666666666667,5,4,8,2.66666666666667,391,8.33333333333333,3.33333333333333,4,15.3333333333333,1.33333333333333,321,4.33333333333333,13.6666666666667,0,299.333333333333,1.66666666666667
"IRAN",31.3333333333333,4,2,7,2.33333333333333,327.333333333333,11.6666666666667,3.66666666666667,4.66666666666667,12.3333333333333,2,245,2.66666666666667,10.6666666666667,1,329,1.33333333333333
"JAPAN",29.75,5,4,6,1.5,398.25,10.5,3.25,4,14.5,2.25,324.5,4.75,11.25,0,457.25,1.25
"KOREA REPUBLIC",42.25,5,3,6,1.5,466.5,12.25,4.5,4.75,11.25,1.75,401.75,6,10.25,0,284.75,1.25
"MEXICO",48.3333333333333,2,1,7,2.33333333333333,417.666666666667,14,5,5,17,4.33333333333333,348.333333333333,5.33333333333333,18.3333333333333,0,249.666666666667,0.666666666666667
"MOROCCO",34.8571428571429,6,4,9,1.28571428571429,384.285714285714,8.71428571428571,2.42857142857143,4,13.8571428571429,2.71428571428571,317,1.71428571428571,14.5714285714286,0,359.428571428571,0.857142857142857
"NETHERLANDS",45,10,8,12,2.4,560.8,8,3.2,3.4,17.4,1.4,488.4,3.8,13.4,0,310,2
"POLAND",31.75,3,1,7,1.75,353,7.75,1.75,3.5,12,0.25,282.25,2.75,13.5,1,338.5,0.75
"PORTUGAL",54.2,12,8,6,1.2,595.4,12.4,5,4.8,11.2,2.6,523,5.6,14.8,2,253.4,2.4
"QATAR",40.6666666666667,1,1,7,2.33333333333333,444.333333333333,7,2,4.66666666666667,10.3333333333333,2.33333333333333,376,3,19.3333333333333,0,295.333333333333,0.333333333333333
"SAUDI ARABIA",36.6666666666667,3,2,14,4.66666666666667,374.666666666667,9.66666666666667,3,5.66666666666667,18.6666666666667,1,293.666666666667,2.66666666666667,18.6666666666667,0,267.666666666667,1
"SENEGAL",39.75,5,2,7,1.75,389,12.75,3.5,7,12,2,319,5.5,15.75,1,269.25,1.25
"SERBIA",42.6666666666667,5,4,12,4,464,10.3333333333333,3.33333333333333,5.66666666666667,14.3333333333333,1.33333333333333,388,3,10,0,282.666666666667,1.66666666666667
"SPAIN",69,9,6,2,0.5,954.75,12.75,4,5.25,10.25,2.75,881.75,5.25,16.25,1,206.75,2.25
"SWITZERLAND",43,5,4,9,2.25,475,9,2.75,3.75,13,1.5,403.25,5,14.25,0,287.5,1.25
"TUNISIA",37.6666666666667,1,1,5,1.66666666666667,405.333333333333,9.66666666666667,2.66666666666667,4.66666666666667,13.3333333333333,2.33333333333333,321.333333333333,7,11,0,301.333333333333,0.333333333333333
"UNITED STATES",47.5,3,3,5,1.25,508.25,11.5,3.75,4.75,11.25,1.25,444.25,5.5,11.5,0,287.5,0.75
"URUGUAY",41,2,1,8,2.66666666666667,454.666666666667,10.6666666666667,3.33333333333333,5.66666666666667,11.3333333333333,1,375.333333333333,2.66666666666667,14.3333333333333,0,298.333333333333,0.666666666666667
"WALES",41,1,0,5,1.66666666666667,414,8,2.33333333333333,3.33333333333333,11.6666666666667,1.33333333333333,331.666666666667,2,12.3333333333333,1,260.333333333333,0.333333333333333
